                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                0.98037,                 0.4687,                0.95018,                 0.9062,                0.92548,                0.95115,                0.58625,                 1.3486,                0.62029,                 1.0614,               0.003664,               0.003664,               0.003664
                     66,                0.95212,                0.46132,                0.94575,                0.91549,                0.93492,                0.95971,                0.58678,                 1.3681,                0.61268,                  1.068,               0.003565,               0.003565,               0.003565
                     67,                0.94566,                0.46078,                0.94189,                0.91075,                 0.9423,                0.96237,                0.59327,                 1.3586,                0.61202,                  1.063,               0.003466,               0.003466,               0.003466
                     68,                0.94757,                0.45496,                0.93758,                0.90707,                0.93232,                0.95453,                0.56942,                 1.4116,                0.62816,                 1.0785,               0.003367,               0.003367,               0.003367
                     69,                0.95278,                0.45935,                0.93995,                0.88876,                0.95023,                0.95573,                0.57842,                 1.3778,                0.61953,                 1.0797,               0.003268,               0.003268,               0.003268
                     70,                0.92995,                  0.451,                0.93428,                0.91066,                0.92972,                0.95481,                0.58086,                 1.3806,                0.62226,                 1.0837,               0.003169,               0.003169,               0.003169
                     71,                0.93754,                0.45442,                0.93619,                0.91481,                0.92612,                0.95609,                0.57063,                 1.3997,                0.63909,                 1.0886,                0.00307,                0.00307,                0.00307
                     72,                0.92381,                 0.4503,                0.93407,                0.91283,                0.93366,                0.95695,                0.58462,                 1.3619,                0.62414,                 1.0708,               0.002971,               0.002971,               0.002971
                     73,                0.93349,                0.45358,                0.94057,                0.90304,                0.93781,                0.95359,                 0.5774,                 1.3812,                0.62334,                 1.0754,               0.002872,               0.002872,               0.002872
                     74,                0.91629,                0.44337,                0.93095,                0.91675,                0.92617,                0.96037,                0.58662,                  1.363,                0.62749,                 1.0635,               0.002773,               0.002773,               0.002773
                     75,                0.92189,                0.44701,                0.92981,                0.90906,                0.92885,                0.95869,                0.58292,                 1.3715,                0.62147,                  1.075,               0.002674,               0.002674,               0.002674
                     76,                0.92332,                0.44686,                0.93552,                0.91084,                 0.9263,                0.95247,                0.57551,                 1.3761,                 0.6285,                  1.079,               0.002575,               0.002575,               0.002575
                     77,                0.90975,                  0.436,                0.93215,                0.90958,                0.93437,                0.95159,                0.59007,                 1.3473,                0.61157,                 1.0755,               0.002476,               0.002476,               0.002476
                     78,                0.90052,                0.43787,                0.92794,                0.91468,                0.93063,                0.95845,                0.59608,                 1.3312,                0.61189,                 1.0773,               0.002377,               0.002377,               0.002377
                     79,                0.90391,                0.43705,                0.93004,                0.91734,                0.92505,                0.95642,                0.58053,                 1.3806,                0.62175,                 1.0838,               0.002278,               0.002278,               0.002278
                     80,                0.86857,                0.42646,                0.91266,                0.91479,                0.93426,                0.95756,                0.60514,                 1.3035,                0.59316,                 1.0604,               0.002179,               0.002179,               0.002179
                     81,                0.88751,                0.43214,                0.92423,                0.91847,                0.92219,                 0.9558,                 0.5891,                 1.3417,                0.60189,                 1.0791,                0.00208,                0.00208,                0.00208
                     82,                0.87137,                0.42598,                0.91568,                0.90776,                0.93978,                0.95544,                0.57847,                 1.3881,                0.62581,                 1.0823,               0.001981,               0.001981,               0.001981
                     83,                0.86327,                0.42105,                0.91363,                0.91311,                 0.9346,                0.95757,                0.59014,                 1.3634,                 0.6233,                 1.0713,               0.001882,               0.001882,               0.001882
                     84,                 0.8648,                0.41881,                0.91697,                0.91166,                0.93235,                0.95445,                0.58693,                 1.3584,                0.62409,                 1.0761,               0.001783,               0.001783,               0.001783
